"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactiontype_Code","Transactiontype_ItemName_ENG","Transactiontype_SortOrder","Transactiontype_Hierarchy","Transactiontype_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"51",3.3,"D","Tax due (£ million)","102","0","","202223Jul","July 2022-23","521","202223Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"52",59,"V","Property value taxed (£ million)","103","0","","202223Jul","July 2022-23","521","202223Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"53",8.5,"D","Tax due (£ million)","102","0","","202223Jul","July 2022-23","521","202223Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"54",351,"V","Property value taxed (£ million)","103","0","","202223Jul","July 2022-23","521","202223Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"55",1120,"C","Number of transactions","101","0","","202223Jul","July 2022-23","521","202223Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"56",1,"D","Tax due (£ million)","102","0","","202223Jul","July 2022-23","521","202223Q2","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"57",0.9,"D","Tax due (£ million)","102","0","","202223Aug","August 2022-23","522","202223Q2","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"58",2.3,"D","Tax due (£ million)","102","0","","202223Jul","July 2022-23","521","202223Q2","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"59",5.2,"D","Tax due (£ million)","102","0","","202223Jul","July 2022-23","521","202223Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"60",292,"V","Property value taxed (£ million)","103","0","","202223Jul","July 2022-23","521","202223Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"61",930,"C","Number of transactions","101","0","","202223Jul","July 2022-23","521","202223Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"62",190,"C","Number of transactions","101","0","","202223Jul","July 2022-23","521","202223Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
