transactionTypeCode,transactionTypeDescription,taxBracketHigh,taxRate,fiscalYearEnding,yearDescription,weight,inYearCount
NRN,Non-residential rental,Inf,0.02,2024,2023-24,1,1
,,,,,,,
RM,Residential Main,225000,0,2025,2024-25,1,1
RM,Residential Main,250000,0.06,2025,2024-25,1,1
RM,Residential Main,400000,0.06,2025,2024-25,1,1
RM,Residential Main,750000,0.075,2025,2024-25,1,1
RM,Residential Main,1500000,0.1,2025,2024-25,1,1
RM,Residential Main,Inf,0.12,2025,2024-25,1,1
RH,Residential Higher,180000,0.04,2025,2024-25,1,1
RH,Residential Higher,250000,0.075,2025,2024-25,1,1
RH,Residential Higher,400000,0.09,2025,2024-25,1,1
RH,Residential Higher,750000,0.115,2025,2024-25,1,1
RH,Residential Higher,1500000,0.14,2025,2024-25,1,1
RH,Residential Higher,Inf,0.16,2025,2024-25,1,1
NRP,Non-residential premium,225000,0,2025,2024-25,1,1
NRP,Non-residential premium,250000,0.01,2025,2024-25,1,1
NRP,Non-residential premium,1000000,0.05,2025,2024-25,1,1
NRP,Non-residential premium,Inf,0.06,2025,2024-25,1,1
NRN,Non-residential rental,225000,0,2025,2024-25,1,1
NRN,Non-residential rental,2000000,0.01,2025,2024-25,1,1
NRN,Non-residential rental,Inf,0.02,2025,2024-25,1,1
,,,,,,,
RM,Residential Main,225000,0,2026,2025-26,1,1
RM,Residential Main,250000,0.06,2026,2025-26,1,1
RM,Residential Main,400000,0.06,2026,2025-26,1,1
RM,Residential Main,750000,0.075,2026,2025-26,1,1
RM,Residential Main,1500000,0.1,2026,2025-26,1,1
RM,Residential Main,Inf,0.12,2026,2025-26,1,1
RH,Residential Higher,180000,0.04,2026,2025-26,1,1
RH,Residential Higher,250000,0.075,2026,2025-26,1,1
RH,Residential Higher,400000,0.09,2026,2025-26,1,1
RH,Residential Higher,750000,0.115,2026,2025-26,1,1
RH,Residential Higher,1500000,0.14,2026,2025-26,1,1
RH,Residential Higher,Inf,0.16,2026,2025-26,1,1
NRP,Non-residential premium,225000,0,2026,2025-26,1,1
NRP,Non-residential premium,250000,0.01,2026,2025-26,1,1
NRP,Non-residential premium,1000000,0.05,2026,2025-26,1,1
NRP,Non-residential premium,Inf,0.06,2026,2025-26,1,1
NRN,Non-residential rental,225000,0,2026,2025-26,1,1
NRN,Non-residential rental,2000000,0.01,2026,2025-26,1,1
NRN,Non-residential rental,Inf,0.02,2026,2025-26,1,1
,,,,,,,
RM,Residential Main,225000,0,2027,2026-27,1,1
RM,Residential Main,250000,0.06,2027,2026-27,1,1
RM,Residential Main,400000,0.06,2027,2026-27,1,1
RM,Residential Main,750000,0.075,2027,2026-27,1,1
RM,Residential Main,1500000,0.1,2027,2026-27,1,1
RM,Residential Main,Inf,0.12,2027,2026-27,1,1
RH,Residential Higher,180000,0.04,2027,2026-27,1,1
RH,Residential Higher,250000,0.075,2027,2026-27,1,1
RH,Residential Higher,400000,0.09,2027,2026-27,1,1
RH,Residential Higher,750000,0.115,2027,2026-27,1,1
RH,Residential Higher,1500000,0.14,2027,2026-27,1,1
RH,Residential Higher,Inf,0.16,2027,2026-27,1,1
NRP,Non-residential premium,225000,0,2027,2026-27,1,1
NRP,Non-residential premium,250000,0.01,2027,2026-27,1,1
NRP,Non-residential premium,1000000,0.05,2027,2026-27,1,1
NRP,Non-residential premium,Inf,0.06,2027,2026-27,1,1
NRN,Non-residential rental,225000,0,2027,2026-27,1,1
NRN,Non-residential rental,2000000,0.01,2027,2026-27,1,1
NRN,Non-residential rental,Inf,0.02,2027,2026-27,1,1
