"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"12614","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",8,"£175,001 to £200,000","V","Property value taxed (£ million)",43,175001,2e+05,2019
"12559","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",9,"£200,001 to £225,000","C","Number of transactions",130,200001,225000,2019
"12587","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",9,"£200,001 to £225,000","D","Tax due (£ million)",0.1,200001,225000,2019
"12615","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",9,"£200,001 to £225,000","V","Property value taxed (£ million)",28,200001,225000,2019
"12560","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",10,"£225,001 to £250,000","C","Number of transactions",160,225001,250000,2019
"12588","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",10,"£225,001 to £250,000","D","Tax due (£ million)",0.2,225001,250000,2019
"12616","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",10,"£225,001 to £250,000","V","Property value taxed (£ million)",38,225001,250000,2019
"12561","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",11,"£250,001 to £275,000","C","Number of transactions",90,250001,275000,2019
"12589","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",11,"£250,001 to £275,000","D","Tax due (£ million)",0.2,250001,275000,2019
"12617","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",11,"£250,001 to £275,000","V","Property value taxed (£ million)",25,250001,275000,2019
"12562","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",12,"£275,001 to £300,000","C","Number of transactions",110,275001,3e+05,2019
"12590","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",12,"£275,001 to £300,000","D","Tax due (£ million)",0.3,275001,3e+05,2019
"12618","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",12,"£275,001 to £300,000","V","Property value taxed (£ million)",32,275001,3e+05,2019
"12563","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",13,"£300,001 to £325,000","C","Number of transactions",80,300001,325000,2019
"12591","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",13,"£300,001 to £325,000","D","Tax due (£ million)",0.3,300001,325000,2019
"12619","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",13,"£300,001 to £325,000","V","Property value taxed (£ million)",25,300001,325000,2019
"12564","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",14,"£325,001 to £350,000","C","Number of transactions",90,325001,350000,2019
"12592","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",14,"£325,001 to £350,000","D","Tax due (£ million)",0.4,325001,350000,2019
"12620","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",14,"£325,001 to £350,000","V","Property value taxed (£ million)",29,325001,350000,2019
"12565","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",15,"£350,001 to £375,000","C","Number of transactions",60,350001,375000,2019
"12593","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",15,"£350,001 to £375,000","D","Tax due (£ million)",0.4,350001,375000,2019
"12621","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",15,"£350,001 to £375,000","V","Property value taxed (£ million)",22,350001,375000,2019
"12566","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",16,"£375,001 to £400,000","C","Number of transactions",80,375001,4e+05,2019
"12594","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",16,"£375,001 to £400,000","D","Tax due (£ million)",0.6,375001,4e+05,2019
"12622","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",16,"£375,001 to £400,000","V","Property value taxed (£ million)",33,375001,4e+05,2019
"12567","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",17,"£400,001 to £450,000","C","Number of transactions",120,400001,450000,2019
"12595","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",17,"£400,001 to £450,000","D","Tax due (£ million)",1.1,400001,450000,2019
"12623","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",17,"£400,001 to £450,000","V","Property value taxed (£ million)",50,400001,450000,2019
"12568","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",18,"£450,001 to £500,000","C","Number of transactions",110,450001,5e+05,2019
"12596","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",18,"£450,001 to £500,000","D","Tax due (£ million)",1.2,450001,5e+05,2019
"12624","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",18,"£450,001 to £500,000","V","Property value taxed (£ million)",51,450001,5e+05,2019
"12569","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",19,"£500,001 to £600,000","C","Number of transactions",140,500001,6e+05,2019
"12597","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",19,"£500,001 to £600,000","D","Tax due (£ million)",1.9,500001,6e+05,2019
"12625","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",19,"£500,001 to £600,000","V","Property value taxed (£ million)",76,500001,6e+05,2019
"12570","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",20,"£600,001 to £700,000","C","Number of transactions",100,600001,7e+05,2019
"12598","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",20,"£600,001 to £700,000","D","Tax due (£ million)",1.8,600001,7e+05,2019
"12626","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",20,"£600,001 to £700,000","V","Property value taxed (£ million)",64,600001,7e+05,2019
