"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"4548","YE20210331","Year ending 31 March 2021","RE","Residential",17,"£80,001 to £85,000","C","Number of transactions",880,80001,85000,2021
"4639","YE20210331","Year ending 31 March 2021","RE","Residential",17,"£80,001 to £85,000","D","Tax due (£ million)",0.9,80001,85000,2021
"4730","YE20210331","Year ending 31 March 2021","RE","Residential",17,"£80,001 to £85,000","V","Property value taxed (£ million)",74,80001,85000,2021
"4549","YE20210331","Year ending 31 March 2021","RE","Residential",18,"£85,001 to £90,000","C","Number of transactions",950,85001,90000,2021
"4640","YE20210331","Year ending 31 March 2021","RE","Residential",18,"£85,001 to £90,000","D","Tax due (£ million)",0.9,85001,90000,2021
"4731","YE20210331","Year ending 31 March 2021","RE","Residential",18,"£85,001 to £90,000","V","Property value taxed (£ million)",85,85001,90000,2021
"4550","YE20210331","Year ending 31 March 2021","RE","Residential",19,"£90,001 to £95,000","C","Number of transactions",870,90001,95000,2021
"4641","YE20210331","Year ending 31 March 2021","RE","Residential",19,"£90,001 to £95,000","D","Tax due (£ million)",0.8,90001,95000,2021
"4732","YE20210331","Year ending 31 March 2021","RE","Residential",19,"£90,001 to £95,000","V","Property value taxed (£ million)",81,90001,95000,2021
"4551","YE20210331","Year ending 31 March 2021","RE","Residential",20,"£95,001 to £100,000","C","Number of transactions",920,95001,1e+05,2021
"4642","YE20210331","Year ending 31 March 2021","RE","Residential",20,"£95,001 to £100,000","D","Tax due (£ million)",0.9,95001,1e+05,2021
"4733","YE20210331","Year ending 31 March 2021","RE","Residential",20,"£95,001 to £100,000","V","Property value taxed (£ million)",91,95001,1e+05,2021
"4552","YE20210331","Year ending 31 March 2021","RE","Residential",21,"£100,001 to £105,000","C","Number of transactions",770,100001,105000,2021
"4643","YE20210331","Year ending 31 March 2021","RE","Residential",21,"£100,001 to £105,000","D","Tax due (£ million)",0.8,100001,105000,2021
"4734","YE20210331","Year ending 31 March 2021","RE","Residential",21,"£100,001 to £105,000","V","Property value taxed (£ million)",80,100001,105000,2021
"4553","YE20210331","Year ending 31 March 2021","RE","Residential",22,"£105,001 to £110,000","C","Number of transactions",980,105001,110000,2021
"4644","YE20210331","Year ending 31 March 2021","RE","Residential",22,"£105,001 to £110,000","D","Tax due (£ million)",0.9,105001,110000,2021
"4735","YE20210331","Year ending 31 March 2021","RE","Residential",22,"£105,001 to £110,000","V","Property value taxed (£ million)",106,105001,110000,2021
"4554","YE20210331","Year ending 31 March 2021","RE","Residential",23,"£110,001 to £115,000","C","Number of transactions",920,110001,115000,2021
"4645","YE20210331","Year ending 31 March 2021","RE","Residential",23,"£110,001 to £115,000","D","Tax due (£ million)",0.9,110001,115000,2021
"4736","YE20210331","Year ending 31 March 2021","RE","Residential",23,"£110,001 to £115,000","V","Property value taxed (£ million)",104,110001,115000,2021
"4555","YE20210331","Year ending 31 March 2021","RE","Residential",24,"£115,001 to £120,000","C","Number of transactions",1240,115001,120000,2021
"4646","YE20210331","Year ending 31 March 2021","RE","Residential",24,"£115,001 to £120,000","D","Tax due (£ million)",1.2,115001,120000,2021
"4737","YE20210331","Year ending 31 March 2021","RE","Residential",24,"£115,001 to £120,000","V","Property value taxed (£ million)",147,115001,120000,2021
"4556","YE20210331","Year ending 31 March 2021","RE","Residential",25,"£120,001 to £125,000","C","Number of transactions",1120,120001,125000,2021
"4647","YE20210331","Year ending 31 March 2021","RE","Residential",25,"£120,001 to £125,000","D","Tax due (£ million)",1.3,120001,125000,2021
"4738","YE20210331","Year ending 31 March 2021","RE","Residential",25,"£120,001 to £125,000","V","Property value taxed (£ million)",139,120001,125000,2021
"4557","YE20210331","Year ending 31 March 2021","RE","Residential",26,"£125,001 to £130,000","C","Number of transactions",1290,125001,130000,2021
"4648","YE20210331","Year ending 31 March 2021","RE","Residential",26,"£125,001 to £130,000","D","Tax due (£ million)",1.3,125001,130000,2021
"4739","YE20210331","Year ending 31 March 2021","RE","Residential",26,"£125,001 to £130,000","V","Property value taxed (£ million)",165,125001,130000,2021
"4558","YE20210331","Year ending 31 March 2021","RE","Residential",27,"£130,001 to £135,000","C","Number of transactions",1060,130001,135000,2021
"4649","YE20210331","Year ending 31 March 2021","RE","Residential",27,"£130,001 to £135,000","D","Tax due (£ million)",1.1,130001,135000,2021
"4740","YE20210331","Year ending 31 March 2021","RE","Residential",27,"£130,001 to £135,000","V","Property value taxed (£ million)",141,130001,135000,2021
"4559","YE20210331","Year ending 31 March 2021","RE","Residential",28,"£135,001 to £140,000","C","Number of transactions",1200,135001,140000,2021
"4650","YE20210331","Year ending 31 March 2021","RE","Residential",28,"£135,001 to £140,000","D","Tax due (£ million)",1.1,135001,140000,2021
"4741","YE20210331","Year ending 31 March 2021","RE","Residential",28,"£135,001 to £140,000","V","Property value taxed (£ million)",167,135001,140000,2021
"4560","YE20210331","Year ending 31 March 2021","RE","Residential",29,"£140,001 to £145,000","C","Number of transactions",1040,140001,145000,2021
"4651","YE20210331","Year ending 31 March 2021","RE","Residential",29,"£140,001 to £145,000","D","Tax due (£ million)",1.1,140001,145000,2021
"4742","YE20210331","Year ending 31 March 2021","RE","Residential",29,"£140,001 to £145,000","V","Property value taxed (£ million)",149,140001,145000,2021
"4561","YE20210331","Year ending 31 March 2021","RE","Residential",30,"£145,001 to £150,000","C","Number of transactions",1290,145001,150000,2021
"4652","YE20210331","Year ending 31 March 2021","RE","Residential",30,"£145,001 to £150,000","D","Tax due (£ million)",1.4,145001,150000,2021
"4743","YE20210331","Year ending 31 March 2021","RE","Residential",30,"£145,001 to £150,000","V","Property value taxed (£ million)",193,145001,150000,2021
"4562","YE20210331","Year ending 31 March 2021","RE","Residential",31,"£150,001 to £155,000","C","Number of transactions",930,150001,155000,2021
"4653","YE20210331","Year ending 31 March 2021","RE","Residential",31,"£150,001 to £155,000","D","Tax due (£ million)",0.9,150001,155000,2021
"4744","YE20210331","Year ending 31 March 2021","RE","Residential",31,"£150,001 to £155,000","V","Property value taxed (£ million)",143,150001,155000,2021
"4563","YE20210331","Year ending 31 March 2021","RE","Residential",32,"£155,001 to £160,000","C","Number of transactions",1160,155001,160000,2021
"4654","YE20210331","Year ending 31 March 2021","RE","Residential",32,"£155,001 to £160,000","D","Tax due (£ million)",1.2,155001,160000,2021
"4745","YE20210331","Year ending 31 March 2021","RE","Residential",32,"£155,001 to £160,000","V","Property value taxed (£ million)",185,155001,160000,2021
"4564","YE20210331","Year ending 31 March 2021","RE","Residential",33,"£160,001 to £165,000","C","Number of transactions",1040,160001,165000,2021
"4655","YE20210331","Year ending 31 March 2021","RE","Residential",33,"£160,001 to £165,000","D","Tax due (£ million)",1.1,160001,165000,2021
"4746","YE20210331","Year ending 31 March 2021","RE","Residential",33,"£160,001 to £165,000","V","Property value taxed (£ million)",171,160001,165000,2021
"4565","YE20210331","Year ending 31 March 2021","RE","Residential",34,"£165,001 to £170,000","C","Number of transactions",1070,165001,170000,2021
"4656","YE20210331","Year ending 31 March 2021","RE","Residential",34,"£165,001 to £170,000","D","Tax due (£ million)",0.9,165001,170000,2021
"4747","YE20210331","Year ending 31 March 2021","RE","Residential",34,"£165,001 to £170,000","V","Property value taxed (£ million)",180,165001,170000,2021
"4566","YE20210331","Year ending 31 March 2021","RE","Residential",35,"£170,001 to £175,000","C","Number of transactions",950,170001,175000,2021
"4657","YE20210331","Year ending 31 March 2021","RE","Residential",35,"£170,001 to £175,000","D","Tax due (£ million)",0.9,170001,175000,2021
"4748","YE20210331","Year ending 31 March 2021","RE","Residential",35,"£170,001 to £175,000","V","Property value taxed (£ million)",165,170001,175000,2021
"4567","YE20210331","Year ending 31 March 2021","RE","Residential",36,"£175,001 to £180,000","C","Number of transactions",1020,175001,180000,2021
"4658","YE20210331","Year ending 31 March 2021","RE","Residential",36,"£175,001 to £180,000","D","Tax due (£ million)",1,175001,180000,2021
"4749","YE20210331","Year ending 31 March 2021","RE","Residential",36,"£175,001 to £180,000","V","Property value taxed (£ million)",183,175001,180000,2021
"4568","YE20210331","Year ending 31 March 2021","RE","Residential",37,"£180,001 to £185,000","C","Number of transactions",880,180001,185000,2021
"4659","YE20210331","Year ending 31 March 2021","RE","Residential",37,"£180,001 to £185,000","D","Tax due (£ million)",0.9,180001,185000,2021
"4750","YE20210331","Year ending 31 March 2021","RE","Residential",37,"£180,001 to £185,000","V","Property value taxed (£ million)",161,180001,185000,2021
"4569","YE20210331","Year ending 31 March 2021","RE","Residential",38,"£185,001 to £190,000","C","Number of transactions",900,185001,190000,2021
"4660","YE20210331","Year ending 31 March 2021","RE","Residential",38,"£185,001 to £190,000","D","Tax due (£ million)",1.1,185001,190000,2021
"4751","YE20210331","Year ending 31 March 2021","RE","Residential",38,"£185,001 to £190,000","V","Property value taxed (£ million)",170,185001,190000,2021
"4570","YE20210331","Year ending 31 March 2021","RE","Residential",39,"£190,001 to £195,000","C","Number of transactions",720,190001,195000,2021
"4661","YE20210331","Year ending 31 March 2021","RE","Residential",39,"£190,001 to £195,000","D","Tax due (£ million)",0.7,190001,195000,2021
"4752","YE20210331","Year ending 31 March 2021","RE","Residential",39,"£190,001 to £195,000","V","Property value taxed (£ million)",140,190001,195000,2021
"4571","YE20210331","Year ending 31 March 2021","RE","Residential",40,"£195,001 to £200,000","C","Number of transactions",850,195001,2e+05,2021
"4662","YE20210331","Year ending 31 March 2021","RE","Residential",40,"£195,001 to £200,000","D","Tax due (£ million)",1.1,195001,2e+05,2021
"4753","YE20210331","Year ending 31 March 2021","RE","Residential",40,"£195,001 to £200,000","V","Property value taxed (£ million)",169,195001,2e+05,2021
"4572","YE20210331","Year ending 31 March 2021","RE","Residential",41,"£200,001 to £205,000","C","Number of transactions",490,200001,205000,2021
"4663","YE20210331","Year ending 31 March 2021","RE","Residential",41,"£200,001 to £205,000","D","Tax due (£ million)",0.7,200001,205000,2021
"4754","YE20210331","Year ending 31 March 2021","RE","Residential",41,"£200,001 to £205,000","V","Property value taxed (£ million)",99,200001,205000,2021
"4573","YE20210331","Year ending 31 March 2021","RE","Residential",42,"£205,001 to £210,000","C","Number of transactions",710,205001,210000,2021
"4664","YE20210331","Year ending 31 March 2021","RE","Residential",42,"£205,001 to £210,000","D","Tax due (£ million)",0.8,205001,210000,2021
"4755","YE20210331","Year ending 31 March 2021","RE","Residential",42,"£205,001 to £210,000","V","Property value taxed (£ million)",149,205001,210000,2021
"4574","YE20210331","Year ending 31 March 2021","RE","Residential",43,"£210,001 to £215,000","C","Number of transactions",640,210001,215000,2021
"4665","YE20210331","Year ending 31 March 2021","RE","Residential",43,"£210,001 to £215,000","D","Tax due (£ million)",0.7,210001,215000,2021
"4756","YE20210331","Year ending 31 March 2021","RE","Residential",43,"£210,001 to £215,000","V","Property value taxed (£ million)",136,210001,215000,2021
"4575","YE20210331","Year ending 31 March 2021","RE","Residential",44,"£215,001 to £220,000","C","Number of transactions",720,215001,220000,2021
"4666","YE20210331","Year ending 31 March 2021","RE","Residential",44,"£215,001 to £220,000","D","Tax due (£ million)",0.9,215001,220000,2021
"4757","YE20210331","Year ending 31 March 2021","RE","Residential",44,"£215,001 to £220,000","V","Property value taxed (£ million)",157,215001,220000,2021
"4576","YE20210331","Year ending 31 March 2021","RE","Residential",45,"£220,001 to £225,000","C","Number of transactions",630,220001,225000,2021
"4667","YE20210331","Year ending 31 March 2021","RE","Residential",45,"£220,001 to £225,000","D","Tax due (£ million)",0.9,220001,225000,2021
"4758","YE20210331","Year ending 31 March 2021","RE","Residential",45,"£220,001 to £225,000","V","Property value taxed (£ million)",142,220001,225000,2021
"4577","YE20210331","Year ending 31 March 2021","RE","Residential",46,"£225,001 to £230,000","C","Number of transactions",670,225001,230000,2021
"4668","YE20210331","Year ending 31 March 2021","RE","Residential",46,"£225,001 to £230,000","D","Tax due (£ million)",1,225001,230000,2021
"4759","YE20210331","Year ending 31 March 2021","RE","Residential",46,"£225,001 to £230,000","V","Property value taxed (£ million)",153,225001,230000,2021
"4578","YE20210331","Year ending 31 March 2021","RE","Residential",47,"£230,001 to £235,000","C","Number of transactions",550,230001,235000,2021
"4669","YE20210331","Year ending 31 March 2021","RE","Residential",47,"£230,001 to £235,000","D","Tax due (£ million)",0.8,230001,235000,2021
"4760","YE20210331","Year ending 31 March 2021","RE","Residential",47,"£230,001 to £235,000","V","Property value taxed (£ million)",128,230001,235000,2021
"4579","YE20210331","Year ending 31 March 2021","RE","Residential",48,"£235,001 to £240,000","C","Number of transactions",650,235001,240000,2021
"4670","YE20210331","Year ending 31 March 2021","RE","Residential",48,"£235,001 to £240,000","D","Tax due (£ million)",1,235001,240000,2021
"4761","YE20210331","Year ending 31 March 2021","RE","Residential",48,"£235,001 to £240,000","V","Property value taxed (£ million)",154,235001,240000,2021
"4580","YE20210331","Year ending 31 March 2021","RE","Residential",49,"£240,001 to £245,000","C","Number of transactions",540,240001,245000,2021
"4671","YE20210331","Year ending 31 March 2021","RE","Residential",49,"£240,001 to £245,000","D","Tax due (£ million)",0.9,240001,245000,2021
"4762","YE20210331","Year ending 31 March 2021","RE","Residential",49,"£240,001 to £245,000","V","Property value taxed (£ million)",131,240001,245000,2021
"4581","YE20210331","Year ending 31 March 2021","RE","Residential",50,"£245,001 to £250,000","C","Number of transactions",820,245001,250000,2021
"4672","YE20210331","Year ending 31 March 2021","RE","Residential",50,"£245,001 to £250,000","D","Tax due (£ million)",1.5,245001,250000,2021
"4763","YE20210331","Year ending 31 March 2021","RE","Residential",50,"£245,001 to £250,000","V","Property value taxed (£ million)",205,245001,250000,2021
"4582","YE20210331","Year ending 31 March 2021","RE","Residential",51,"£250,001 to £255,000","C","Number of transactions",420,250001,255000,2021
"4673","YE20210331","Year ending 31 March 2021","RE","Residential",51,"£250,001 to £255,000","D","Tax due (£ million)",0.8,250001,255000,2021
"4764","YE20210331","Year ending 31 March 2021","RE","Residential",51,"£250,001 to £255,000","V","Property value taxed (£ million)",106,250001,255000,2021
"4583","YE20210331","Year ending 31 March 2021","RE","Residential",52,"£255,001 to £260,000","C","Number of transactions",530,255001,260000,2021
"4674","YE20210331","Year ending 31 March 2021","RE","Residential",52,"£255,001 to £260,000","D","Tax due (£ million)",1,255001,260000,2021
"4765","YE20210331","Year ending 31 March 2021","RE","Residential",52,"£255,001 to £260,000","V","Property value taxed (£ million)",136,255001,260000,2021
"4584","YE20210331","Year ending 31 March 2021","RE","Residential",53,"£260,001 to £265,000","C","Number of transactions",430,260001,265000,2021
"4675","YE20210331","Year ending 31 March 2021","RE","Residential",53,"£260,001 to £265,000","D","Tax due (£ million)",1.1,260001,265000,2021
"4766","YE20210331","Year ending 31 March 2021","RE","Residential",53,"£260,001 to £265,000","V","Property value taxed (£ million)",114,260001,265000,2021
"4585","YE20210331","Year ending 31 March 2021","RE","Residential",54,"£265,001 to £270,000","C","Number of transactions",460,265001,270000,2021
"4676","YE20210331","Year ending 31 March 2021","RE","Residential",54,"£265,001 to £270,000","D","Tax due (£ million)",1.2,265001,270000,2021
"4767","YE20210331","Year ending 31 March 2021","RE","Residential",54,"£265,001 to £270,000","V","Property value taxed (£ million)",124,265001,270000,2021
"4586","YE20210331","Year ending 31 March 2021","RE","Residential",55,"£270,001 to £275,000","C","Number of transactions",460,270001,275000,2021
"4677","YE20210331","Year ending 31 March 2021","RE","Residential",55,"£270,001 to £275,000","D","Tax due (£ million)",1.4,270001,275000,2021
"4768","YE20210331","Year ending 31 March 2021","RE","Residential",55,"£270,001 to £275,000","V","Property value taxed (£ million)",125,270001,275000,2021
"4587","YE20210331","Year ending 31 March 2021","RE","Residential",56,"£275,001 to £280,000","C","Number of transactions",480,275001,280000,2021
"4678","YE20210331","Year ending 31 March 2021","RE","Residential",56,"£275,001 to £280,000","D","Tax due (£ million)",1.4,275001,280000,2021
"4769","YE20210331","Year ending 31 March 2021","RE","Residential",56,"£275,001 to £280,000","V","Property value taxed (£ million)",134,275001,280000,2021
"4588","YE20210331","Year ending 31 March 2021","RE","Residential",57,"£280,001 to £285,000","C","Number of transactions",390,280001,285000,2021
"4679","YE20210331","Year ending 31 March 2021","RE","Residential",57,"£280,001 to £285,000","D","Tax due (£ million)",1.2,280001,285000,2021
"4770","YE20210331","Year ending 31 March 2021","RE","Residential",57,"£280,001 to £285,000","V","Property value taxed (£ million)",111,280001,285000,2021
"4589","YE20210331","Year ending 31 March 2021","RE","Residential",58,"£285,001 to £290,000","C","Number of transactions",460,285001,290000,2021
"4680","YE20210331","Year ending 31 March 2021","RE","Residential",58,"£285,001 to £290,000","D","Tax due (£ million)",1.5,285001,290000,2021
"4771","YE20210331","Year ending 31 March 2021","RE","Residential",58,"£285,001 to £290,000","V","Property value taxed (£ million)",131,285001,290000,2021
"4590","YE20210331","Year ending 31 March 2021","RE","Residential",59,"£290,001 to £295,000","C","Number of transactions",360,290001,295000,2021
"4681","YE20210331","Year ending 31 March 2021","RE","Residential",59,"£290,001 to £295,000","D","Tax due (£ million)",1.4,290001,295000,2021
"4772","YE20210331","Year ending 31 March 2021","RE","Residential",59,"£290,001 to £295,000","V","Property value taxed (£ million)",107,290001,295000,2021
"4591","YE20210331","Year ending 31 March 2021","RE","Residential",60,"£295,001 to £300,000","C","Number of transactions",540,295001,3e+05,2021
"4682","YE20210331","Year ending 31 March 2021","RE","Residential",60,"£295,001 to £300,000","D","Tax due (£ million)",2.3,295001,3e+05,2021
"4773","YE20210331","Year ending 31 March 2021","RE","Residential",60,"£295,001 to £300,000","V","Property value taxed (£ million)",161,295001,3e+05,2021
"4592","YE20210331","Year ending 31 March 2021","RE","Residential",61,"£300,001 to £305,000","C","Number of transactions",190,300001,305000,2021
"4683","YE20210331","Year ending 31 March 2021","RE","Residential",61,"£300,001 to £305,000","D","Tax due (£ million)",0.9,300001,305000,2021
"4774","YE20210331","Year ending 31 March 2021","RE","Residential",61,"£300,001 to £305,000","V","Property value taxed (£ million)",58,300001,305000,2021
"4593","YE20210331","Year ending 31 March 2021","RE","Residential",62,"£305,001 to £310,000","C","Number of transactions",300,305001,310000,2021
"4684","YE20210331","Year ending 31 March 2021","RE","Residential",62,"£305,001 to £310,000","D","Tax due (£ million)",1.4,305001,310000,2021
"4775","YE20210331","Year ending 31 March 2021","RE","Residential",62,"£305,001 to £310,000","V","Property value taxed (£ million)",92,305001,310000,2021
"4594","YE20210331","Year ending 31 March 2021","RE","Residential",63,"£310,001 to £315,000","C","Number of transactions",270,310001,315000,2021
"4685","YE20210331","Year ending 31 March 2021","RE","Residential",63,"£310,001 to £315,000","D","Tax due (£ million)",1.3,310001,315000,2021
"4776","YE20210331","Year ending 31 March 2021","RE","Residential",63,"£310,001 to £315,000","V","Property value taxed (£ million)",85,310001,315000,2021
"4595","YE20210331","Year ending 31 March 2021","RE","Residential",64,"£315,001 to £320,000","C","Number of transactions",320,315001,320000,2021
"4686","YE20210331","Year ending 31 March 2021","RE","Residential",64,"£315,001 to £320,000","D","Tax due (£ million)",1.8,315001,320000,2021
"4777","YE20210331","Year ending 31 March 2021","RE","Residential",64,"£315,001 to £320,000","V","Property value taxed (£ million)",101,315001,320000,2021
"4596","YE20210331","Year ending 31 March 2021","RE","Residential",65,"£320,001 to £325,000","C","Number of transactions",320,320001,325000,2021
"4687","YE20210331","Year ending 31 March 2021","RE","Residential",65,"£320,001 to £325,000","D","Tax due (£ million)",1.8,320001,325000,2021
"4778","YE20210331","Year ending 31 March 2021","RE","Residential",65,"£320,001 to £325,000","V","Property value taxed (£ million)",102,320001,325000,2021
"4597","YE20210331","Year ending 31 March 2021","RE","Residential",66,"£325,001 to £330,000","C","Number of transactions",270,325001,330000,2021
"4688","YE20210331","Year ending 31 March 2021","RE","Residential",66,"£325,001 to £330,000","D","Tax due (£ million)",1.6,325001,330000,2021
"4779","YE20210331","Year ending 31 March 2021","RE","Residential",66,"£325,001 to £330,000","V","Property value taxed (£ million)",90,325001,330000,2021
"4598","YE20210331","Year ending 31 March 2021","RE","Residential",67,"£330,001 to £335,000","C","Number of transactions",220,330001,335000,2021
"4689","YE20210331","Year ending 31 March 2021","RE","Residential",67,"£330,001 to £335,000","D","Tax due (£ million)",1.4,330001,335000,2021
"4780","YE20210331","Year ending 31 March 2021","RE","Residential",67,"£330,001 to £335,000","V","Property value taxed (£ million)",72,330001,335000,2021
"4599","YE20210331","Year ending 31 March 2021","RE","Residential",68,"£335,001 to £340,000","C","Number of transactions",220,335001,340000,2021
"4690","YE20210331","Year ending 31 March 2021","RE","Residential",68,"£335,001 to £340,000","D","Tax due (£ million)",1.3,335001,340000,2021
"4781","YE20210331","Year ending 31 March 2021","RE","Residential",68,"£335,001 to £340,000","V","Property value taxed (£ million)",73,335001,340000,2021
"4600","YE20210331","Year ending 31 March 2021","RE","Residential",69,"£340,001 to £345,000","C","Number of transactions",190,340001,345000,2021
"4691","YE20210331","Year ending 31 March 2021","RE","Residential",69,"£340,001 to £345,000","D","Tax due (£ million)",1.3,340001,345000,2021
"4782","YE20210331","Year ending 31 March 2021","RE","Residential",69,"£340,001 to £345,000","V","Property value taxed (£ million)",67,340001,345000,2021
"4601","YE20210331","Year ending 31 March 2021","RE","Residential",70,"£345,001 to £350,000","C","Number of transactions",310,345001,350000,2021
"4692","YE20210331","Year ending 31 March 2021","RE","Residential",70,"£345,001 to £350,000","D","Tax due (£ million)",2.2,345001,350000,2021
"4783","YE20210331","Year ending 31 March 2021","RE","Residential",70,"£345,001 to £350,000","V","Property value taxed (£ million)",107,345001,350000,2021
"8","YE20210331","Year ending 31 March 2021","RE","Residential",72,"£350,001 to Â£360,000","C","Number of transactions",350,350001,360000,2021
"10","YE20210331","Year ending 31 March 2021","RE","Residential",72,"£350,001 to Â£360,000","D","Tax due (£ million)",2.6,350001,360000,2021
"12","YE20210331","Year ending 31 March 2021","RE","Residential",72,"£350,001 to Â£360,000","V","Property value taxed (£ million)",124,350001,360000,2021
"81","YE20210331","Year ending 31 March 2021","RE","Residential",74,"Â£360,001 to Â£370,000","C","Number of transactions",350,360001,370000,2021
"101","YE20210331","Year ending 31 March 2021","RE","Residential",74,"Â£360,001 to Â£370,000","D","Tax due (£ million)",2.9,360001,370000,2021
"121","YE20210331","Year ending 31 March 2021","RE","Residential",74,"Â£360,001 to Â£370,000","V","Property value taxed (£ million)",130,360001,370000,2021
"82","YE20210331","Year ending 31 March 2021","RE","Residential",76,"Â£370,001 to Â£380,000","C","Number of transactions",370,370001,380000,2021
"102","YE20210331","Year ending 31 March 2021","RE","Residential",76,"Â£370,001 to Â£380,000","D","Tax due (£ million)",3.3,370001,380000,2021
"122","YE20210331","Year ending 31 March 2021","RE","Residential",76,"Â£370,001 to Â£380,000","V","Property value taxed (£ million)",141,370001,380000,2021
"83","YE20210331","Year ending 31 March 2021","RE","Residential",78,"Â£380,001 to Â£390,000","C","Number of transactions",290,380001,390000,2021
"103","YE20210331","Year ending 31 March 2021","RE","Residential",78,"Â£380,001 to Â£390,000","D","Tax due (£ million)",2.6,380001,390000,2021
"123","YE20210331","Year ending 31 March 2021","RE","Residential",78,"Â£380,001 to Â£390,000","V","Property value taxed (£ million)",114,380001,390000,2021
"84","YE20210331","Year ending 31 March 2021","RE","Residential",80,"Â£390,001 to Â£400,000","C","Number of transactions",360,390001,4e+05,2021
"104","YE20210331","Year ending 31 March 2021","RE","Residential",80,"Â£390,001 to Â£400,000","D","Tax due (£ million)",3.5,390001,4e+05,2021
"124","YE20210331","Year ending 31 March 2021","RE","Residential",80,"Â£390,001 to Â£400,000","V","Property value taxed (£ million)",144,390001,4e+05,2021
"4612","YE20210331","Year ending 31 March 2021","RE","Residential",81,"£400,001 to £425,000","C","Number of transactions",510,400001,425000,2021
"4703","YE20210331","Year ending 31 March 2021","RE","Residential",81,"£400,001 to £425,000","D","Tax due (£ million)",5.6,400001,425000,2021
"4794","YE20210331","Year ending 31 March 2021","RE","Residential",81,"£400,001 to £425,000","V","Property value taxed (£ million)",212,400001,425000,2021
"4613","YE20210331","Year ending 31 March 2021","RE","Residential",82,"£425,001 to £450,000","C","Number of transactions",480,425001,450000,2021
"4704","YE20210331","Year ending 31 March 2021","RE","Residential",82,"£425,001 to £450,000","D","Tax due (£ million)",6.1,425001,450000,2021
"4795","YE20210331","Year ending 31 March 2021","RE","Residential",82,"£425,001 to £450,000","V","Property value taxed (£ million)",210,425001,450000,2021
"4614","YE20210331","Year ending 31 March 2021","RE","Residential",83,"£450,001 to £500,000","C","Number of transactions",640,450001,5e+05,2021
"4705","YE20210331","Year ending 31 March 2021","RE","Residential",83,"£450,001 to £500,000","D","Tax due (£ million)",10.2,450001,5e+05,2021
"4796","YE20210331","Year ending 31 March 2021","RE","Residential",83,"£450,001 to £500,000","V","Property value taxed (£ million)",307,450001,5e+05,2021
"4615","YE20210331","Year ending 31 March 2021","RE","Residential",84,"£500,001 to £550,000","C","Number of transactions",390,500001,550000,2021
"4706","YE20210331","Year ending 31 March 2021","RE","Residential",84,"£500,001 to £550,000","D","Tax due (£ million)",7.5,500001,550000,2021
"4797","YE20210331","Year ending 31 March 2021","RE","Residential",84,"£500,001 to £550,000","V","Property value taxed (£ million)",205,500001,550000,2021
"4616","YE20210331","Year ending 31 March 2021","RE","Residential",85,"£550,001 to £600,000","C","Number of transactions",330,550001,6e+05,2021
"4707","YE20210331","Year ending 31 March 2021","RE","Residential",85,"£550,001 to £600,000","D","Tax due (£ million)",7.7,550001,6e+05,2021
"4798","YE20210331","Year ending 31 March 2021","RE","Residential",85,"£550,001 to £600,000","V","Property value taxed (£ million)",192,550001,6e+05,2021
"4617","YE20210331","Year ending 31 March 2021","RE","Residential",86,"£600,001 to £650,000","C","Number of transactions",210,600001,650000,2021
"4708","YE20210331","Year ending 31 March 2021","RE","Residential",86,"£600,001 to £650,000","D","Tax due (£ million)",5.6,600001,650000,2021
"4799","YE20210331","Year ending 31 March 2021","RE","Residential",86,"£600,001 to £650,000","V","Property value taxed (£ million)",134,600001,650000,2021
"85","YE20210331","Year ending 31 March 2021","RE","Residential",88,"Â£650,001 to Â£750,000","C","Number of transactions",280,650001,750000,2021
"105","YE20210331","Year ending 31 March 2021","RE","Residential",88,"Â£650,001 to Â£750,000","D","Tax due (£ million)",9.2,650001,750000,2021
"125","YE20210331","Year ending 31 March 2021","RE","Residential",88,"Â£650,001 to Â£750,000","V","Property value taxed (£ million)",198,650001,750000,2021
"4620","YE20210331","Year ending 31 March 2021","RE","Residential",89,"£750,001 to £925,000","C","Number of transactions",180,750001,925000,2021
"4711","YE20210331","Year ending 31 March 2021","RE","Residential",89,"£750,001 to £925,000","D","Tax due (£ million)",7.1,750001,925000,2021
"4802","YE20210331","Year ending 31 March 2021","RE","Residential",89,"£750,001 to £925,000","V","Property value taxed (£ million)",149,750001,925000,2021
"4621","YE20210331","Year ending 31 March 2021","RE","Residential",90,"£925,001 and over","C","Number of transactions",140,925001,NA,2021
"4712","YE20210331","Year ending 31 March 2021","RE","Residential",90,"£925,001 and over","D","Tax due (£ million)",10.1,925001,NA,2021
"4803","YE20210331","Year ending 31 March 2021","RE","Residential",90,"£925,001 and over","V","Property value taxed (£ million)",213,925001,NA,2021
"45311","YE20210331","Year ending 31 March 2021","RM","Main rates residential",0,"£0","C","Number of transactions",100,0,0,2021
"46221","YE20210331","Year ending 31 March 2021","RM","Main rates residential",0,"£0","D","Tax due (£ million)",0,0,0,2021
"47131","YE20210331","Year ending 31 March 2021","RM","Main rates residential",0,"£0","V","Property value taxed (£ million)",0,0,0,2021
"45321","YE20210331","Year ending 31 March 2021","RM","Main rates residential",1,"£1 to £5,000","C","Number of transactions",60,1,5000,2021
"46231","YE20210331","Year ending 31 March 2021","RM","Main rates residential",1,"£1 to £5,000","D","Tax due (£ million)",NA,1,5000,2021
